Cdif-ST-48	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-49	Cdif-recA-5	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-50	Cdif-recA-5	Cdif-dxr-6	Cdif-tpi-17	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-51	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-6	Cdif-glyA-6	Cdif-sodA-7	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-52	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-6	Cdif-sodA-12	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-53	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-2	Cdif-adk-1
Cdif-ST-54	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-4	Cdif-adk-1
Cdif-ST-55	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-12	Cdif-glyA-6	Cdif-sodA-12	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-56	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-3	Cdif-sodA-5	Cdif-atpA-3	Cdif-adk-1
Cdif-ST-57	Cdif-recA-3	Cdif-dxr-6	Cdif-tpi-13	Cdif-glyA-4	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-58	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-13	Cdif-atpA-5	Cdif-adk-1
Cdif-ST-59	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-15	Cdif-sodA-17	Cdif-atpA-3	Cdif-adk-1
Cdif-ST-60	Cdif-recA-1	Cdif-dxr-15	Cdif-tpi-1	Cdif-glyA-15	Cdif-sodA-3	Cdif-atpA-3	Cdif-adk-1
Cdif-ST-61	Cdif-recA-1	Cdif-dxr-11	Cdif-tpi-2	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-5	Cdif-adk-1
Cdif-ST-62	Cdif-recA-1	Cdif-dxr-1	Cdif-tpi-1	Cdif-glyA-9	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-63	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-3	Cdif-glyA-5	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-64	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-13	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-65	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-6	Cdif-glyA-3	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-66	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-6	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-67	Cdif-recA-1	Cdif-dxr-9	Cdif-tpi-5	Cdif-glyA-9	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-68	Cdif-recA-5	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-4	Cdif-adk-1
Cdif-ST-69	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-70	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-3	Cdif-sodA-14	Cdif-atpA-3	Cdif-adk-1
Cdif-ST-71	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-15	Cdif-atpA-1	Cdif-adk-4
Cdif-ST-72	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-13	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-73	Cdif-recA-1	Cdif-dxr-12	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-2	Cdif-adk-1
Cdif-ST-74	Cdif-recA-3	Cdif-dxr-13	Cdif-tpi-14	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-75	Cdif-recA-10	Cdif-dxr-13	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-3	Cdif-adk-7
Cdif-ST-76	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-77	Cdif-recA-3	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-78	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-4
Cdif-ST-79	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-16	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-3	Cdif-adk-1
Cdif-ST-80	Cdif-recA-3	Cdif-dxr-13	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-81	Cdif-recA-6	Cdif-dxr-3	Cdif-tpi-11	Cdif-glyA-8	Cdif-sodA-9	Cdif-atpA-1	Cdif-adk-3
Cdif-ST-82	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-83	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-84	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-9	Cdif-adk-1
Cdif-ST-85	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-10	Cdif-adk-1
Cdif-ST-86	Cdif-recA-6	Cdif-dxr-3	Cdif-tpi-11	Cdif-glyA-8	Cdif-sodA-19	Cdif-atpA-7	Cdif-adk-3
Cdif-ST-87	Cdif-recA-6	Cdif-dxr-3	Cdif-tpi-10	Cdif-glyA-8	Cdif-sodA-20	Cdif-atpA-7	Cdif-adk-3
Cdif-ST-88	Cdif-recA-6	Cdif-dxr-3	Cdif-tpi-10	Cdif-glyA-8	Cdif-sodA-18	Cdif-atpA-7	Cdif-adk-9
Cdif-ST-89	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-21	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-90	Cdif-recA-1	Cdif-dxr-16	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-91	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-6	Cdif-sodA-6	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-92	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-3	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-93	Cdif-recA-11	Cdif-dxr-3	Cdif-tpi-10	Cdif-glyA-8	Cdif-sodA-20	Cdif-atpA-7	Cdif-adk-3
Cdif-ST-94	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-10	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-95	Cdif-recA-1	Cdif-dxr-11	Cdif-tpi-1	Cdif-glyA-17	Cdif-sodA-3	Cdif-atpA-5	Cdif-adk-1
Cdif-ST-96	Cdif-recA-12	Cdif-dxr-4	Cdif-tpi-7	Cdif-glyA-7	Cdif-sodA-8	Cdif-atpA-6	Cdif-adk-1
Cdif-ST-97	Cdif-recA-1	Cdif-dxr-11	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-22	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-98	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-6	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-99	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-12	Cdif-glyA-6	Cdif-sodA-12	Cdif-atpA-11	Cdif-adk-1
Cdif-ST-100	Cdif-recA-2	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-19	Cdif-sodA-24	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-101	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-23	Cdif-atpA-2	Cdif-adk-1
Cdif-ST-102	Cdif-recA-5	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-103	Cdif-recA-8	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-15	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-104	Cdif-recA-1	Cdif-dxr-13	Cdif-tpi-6	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-105	Cdif-recA-1	Cdif-dxr-4	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-2	Cdif-adk-2
Cdif-ST-106	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-10	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-107	Cdif-recA-3	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-4
Cdif-ST-108	Cdif-recA-8	Cdif-dxr-6	Cdif-tpi-5	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-109	Cdif-recA-6	Cdif-dxr-10	Cdif-tpi-15	Cdif-glyA-18	Cdif-sodA-18	Cdif-atpA-12	Cdif-adk-3
Cdif-ST-110	Cdif-recA-13	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-111	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-112	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-3	Cdif-glyA-3	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-113	Cdif-recA-1	Cdif-dxr-17	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-114	Cdif-recA-1	Cdif-dxr-9	Cdif-tpi-18	Cdif-glyA-9	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-115	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-6	Cdif-sodA-7	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-116	Cdif-recA-1	Cdif-dxr-9	Cdif-tpi-5	Cdif-glyA-9	Cdif-sodA-22	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-117	Cdif-recA-2	Cdif-dxr-7	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-118	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-19	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-13	Cdif-adk-1
Cdif-ST-119	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-20	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-120	Cdif-recA-5	Cdif-dxr-1	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-121	Cdif-recA-7	Cdif-dxr-3	Cdif-tpi-10	Cdif-glyA-8	Cdif-sodA-2	Cdif-atpA-7	Cdif-adk-3
Cdif-ST-122	Cdif-recA-1	Cdif-dxr-4	Cdif-tpi-10	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-123	Cdif-recA-1	Cdif-dxr-9	Cdif-tpi-2	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-14	Cdif-adk-1
Cdif-ST-124	Cdif-recA-6	Cdif-dxr-14	Cdif-tpi-9	Cdif-glyA-14	Cdif-sodA-20	Cdif-atpA-7	Cdif-adk-11
Cdif-ST-125	Cdif-recA-4	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-26	Cdif-atpA-1	Cdif-adk-4
Cdif-ST-126	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-3	Cdif-adk-1
Cdif-ST-127	Cdif-recA-6	Cdif-dxr-10	Cdif-tpi-15	Cdif-glyA-8	Cdif-sodA-20	Cdif-atpA-7	Cdif-adk-11
Cdif-ST-128	Cdif-recA-1	Cdif-dxr-9	Cdif-tpi-2	Cdif-glyA-21	Cdif-sodA-27	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-129	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-3	Cdif-adk-1
Cdif-ST-130	Cdif-recA-1	Cdif-dxr-18	Cdif-tpi-2	Cdif-glyA-9	Cdif-sodA-22	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-131	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-8	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-132	Cdif-recA-5	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-5
Cdif-ST-133	Cdif-recA-1	Cdif-dxr-7	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-134	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-15	Cdif-sodA-3	Cdif-atpA-3	Cdif-adk-1
Cdif-ST-135	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-8	Cdif-sodA-7	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-136	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-13	Cdif-glyA-16	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-137	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-3	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-138	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-16	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-139	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-2
Cdif-ST-140	Cdif-recA-1	Cdif-dxr-9	Cdif-tpi-2	Cdif-glyA-9	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-141	Cdif-recA-3	Cdif-dxr-7	Cdif-tpi-6	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-3	Cdif-adk-1
Cdif-ST-142	Cdif-recA-6	Cdif-dxr-14	Cdif-tpi-15	Cdif-glyA-8	Cdif-sodA-25	Cdif-atpA-7	Cdif-adk-8
Cdif-ST-143	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-16	Cdif-sodA-1	Cdif-atpA-11	Cdif-adk-1
Cdif-ST-144	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-3	Cdif-glyA-2	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-145	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-12	Cdif-glyA-1	Cdif-sodA-10	Cdif-atpA-1	Cdif-adk-4
Cdif-ST-146	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-4	Cdif-glyA-6	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-147	Cdif-recA-9	Cdif-dxr-5	Cdif-tpi-8	Cdif-glyA-11	Cdif-sodA-11	Cdif-atpA-8	Cdif-adk-10
Cdif-ST-148	Cdif-recA-9	Cdif-dxr-5	Cdif-tpi-20	Cdif-glyA-11	Cdif-sodA-11	Cdif-atpA-8	Cdif-adk-5
Cdif-ST-149	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-6	Cdif-sodA-7	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-150	Cdif-recA-3	Cdif-dxr-6	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-151	Cdif-recA-1	Cdif-dxr-6	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-152	Cdif-recA-1	Cdif-dxr-13	Cdif-tpi-3	Cdif-glyA-1	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-153	Cdif-recA-3	Cdif-dxr-13	Cdif-tpi-1	Cdif-glyA-5	Cdif-sodA-1	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-154	Cdif-recA-1	Cdif-dxr-9	Cdif-tpi-2	Cdif-glyA-1	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-155	Cdif-recA-5	Cdif-dxr-16	Cdif-tpi-1	Cdif-glyA-1	Cdif-sodA-5	Cdif-atpA-1	Cdif-adk-12
Cdif-ST-156	Cdif-recA-14	Cdif-dxr-9	Cdif-tpi-2	Cdif-glyA-22	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-157	Cdif-recA-1	Cdif-dxr-9	Cdif-tpi-2	Cdif-glyA-23	Cdif-sodA-3	Cdif-atpA-1	Cdif-adk-1
Cdif-ST-158	Cdif-recA-7	Cdif-dxr-10	Cdif-tpi-15	Cdif-glyA-8	Cdif-sodA-2	Cdif-atpA-7	Cdif-adk-3
Cdif-ST-159	Cdif-recA-6	Cdif-dxr-10	Cdif-tpi-10	Cdif-glyA-8	Cdif-sodA-2	Cdif-atpA-7	Cdif-adk-3
Cdif-ST-160	Cdif-recA-1	Cdif-dxr-2	Cdif-tpi-1	Cdif-glyA-6	Cdif-sodA-3	Cdif-atpA-5	Cdif-adk-2
Cdif-ST-161	Cdif-recA-9	Cdif-dxr-5	Cdif-tpi-21	Cdif-glyA-11	Cdif-sodA-11	Cdif-atpA-8	Cdif-adk-5
Cdif-ST-162	Cdif-recA-2	Cdif-dxr-4	Cdif-tpi-7	Cdif-glyA-7	Cdif-sodA-30	Cdif-atpA-6	Cdif-adk-1
Cdif-ST-163	Cdif-recA-15	Cdif-dxr-5	Cdif-tpi-23	Cdif-glyA-24	Cdif-sodA-28	Cdif-atpA-8	Cdif-adk-5
Cdif-ST-164	Cdif-recA-15	Cdif-dxr-5	Cdif-tpi-20	Cdif-glyA-27	Cdif-sodA-29	Cdif-atpA-15	Cdif-adk-5
